Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Manuel Ugarte,Manchester Utd,147,86.0,0,0.1,1
Lesley Ugochukwu,Burnley,230,82.1,0,0.1,5
Enes Ünal,Bournemouth,4,44.4,0,0.0,0
Virgil van Dijk,Liverpool,1115,89.6,0,0.3,5
Joël Veltman,Brighton,101,73.2,0,0.0,1
Micky van de Ven,Tottenham,783,90.6,0,0.3,2
Bart Verbruggen,Brighton,547,79.7,0,0.0,1
Guglielmo Vicario,Tottenham,478,74.5,0,0.0,0
Kyle Walker,Burnley,527,69.8,1,0.5,3
Kyle Walker-Peters,West Ham,208,84.6,0,0.1,3
Aaron Wan-Bissaka,West Ham,391,77.4,0,0.5,10
James Ward-Prowse,West Ham,185,84.9,0,0.9,12
Ollie Watkins,Aston Villa,144,70.2,0,0.7,10
Tom Watson,Brighton,10,71.4,0,0.0,0
Danny Welbeck,Brighton,175,77.1,0,0.6,9
Adam Wharton,Crystal Palace,414,76.0,2,2.7,20
Ben White,Arsenal,125,78.6,1,0.4,4
Mats Wieffer,Brighton,557,84.4,3,1.4,15
Neco Williams,Nott'ham Forest,641,78.4,1,1.1,13
Estêvão Willian,Chelsea,145,81.5,1,1.9,11
Joe Willock,Newcastle Utd,79,81.4,0,0.1,3
Callum Wilson,West Ham,40,55.6,1,0.1,4
Harry Wilson,Fulham,260,71.4,3,1.6,15
Ben Winterburn,Bournemouth,0,0.0,0,0.0,0
Florian Wirtz,Liverpool,435,80.3,0,1.7,25
Yoane Wissa,Newcastle Utd,7,87.5,0,0.1,0
Nick Woltemade,Newcastle Utd,130,75.1,1,0.4,9
Chris Wood,Nott'ham Forest,54,66.7,0,0.1,3
Joe Worrall,Burnley,8,66.7,0,0.0,0
Granit Xhaka,Sunderland,701,79.6,4,1.5,19
Yehor Yarmoliuk,Brentford,382,79.9,1,0.5,7
Ryan Yates,Nott'ham Forest,123,83.7,1,0.2,1
Leny Yoro,Manchester Utd,478,86.6,0,0.2,3
Oleksandr Zinchenko,Nott'ham Forest,194,89.8,0,0.3,3
Joshua Zirkzee,Manchester Utd,95,72.5,0,0.1,4
